,id,tipo,nombre,latitud,longitud,elevacion,iso_region,Ciudad,score
1,5781,large_airport,Ministro Pistarini International Airport,-34.8222,-58.5358,67.0,AR-B,Buenos Aires,1275
2,5771,medium_airport,Jorge Newbery Airpark,-34.5592,-58.4156,18.0,AR-C,Buenos Aires,1050
3,5806,medium_airport,Cataratas Del Iguazú International Airport,-25.737301000000002,-54.4734,916.0,AR-N,Puerto Iguazu,1050
4,5835,medium_airport,Malvinas Argentinas Airport,-54.8433,-68.2958,102.0,AR-V,Ushuahia,1050
5,5831,medium_airport,El Calafate Airport,-50.2803,-72.053101,669.0,AR-Z,El Calafate,250
6,37,closed,Colonia Catriel Airport,-37.9101982117,-67.8349990845,1026.0,AR-R,Colonia Catriel,50
7,5852,medium_airport,San Carlos De Bariloche Airport,-41.151199,-71.157501,2774.0,AR-R,San Carlos de Bariloche,1050
8,5786,medium_airport,El Plumerillo Airport,-32.831699371300004,-68.7929000854,2310.0,AR-M,Mendoza,1050
9,5775,medium_airport,San Fernando Airport,-34.4532,-58.5896,10.0,AR-B,San Fernando,250
10,5770,medium_airport,Sauce Viejo Airport,-31.7117,-60.8117,55.0,AR-S,Santa Fe,975
11,5811,medium_airport,Martin Miguel De Guemes International Airport,-24.856000900300003,-65.4861984253,4088.0,AR-A,Salta,1050
12,5836,medium_airport,Capitan D Daniel Vazquez Airport,-49.3068,-67.8026,203.0,AR-Z,San Julian,800
13,5773,medium_airport,Ingeniero Ambrosio Taravella Airport,-31.323601,-64.208,1604.0,AR-X,Cordoba,1050
14,5834,medium_airport,Piloto Civil N. Fernández Airport,-51.6089,-69.3126,61.0,AR-Z,Rio Gallegos,1050
15,5769,medium_airport,Islas Malvinas Airport,-32.9036,-60.785,85.0,AR-S,Rosario,1050
16,5847,medium_airport,Ástor Piazzola International Airport,-37.9342,-57.5733,72.0,AR-B,Mar del Plata,1050
17,5833,medium_airport,Hermes Quijada International Airport,-53.7777,-67.7494,65.0,AR-V,Rio Grande,375
18,5780,medium_airport,El Palomar Airport,-34.6099,-58.6126,59.0,AR-B,El Palomar,300
19,29733,closed,Don Torcuato Airport,-34.498100280799996,-58.6041984558,20.0,AR-B,Don Torcuato,50
20,5767,small_airport,Pergamino Airport,-33.919000000000004,-60.648,236.0,AR-B,Pergamino,50
21,39058,small_airport,Zarate Airport,-34.12,-59.0836,85.0,AR-B,Zarate,50
22,5822,medium_airport,General E. Mosconi Airport,-45.7853,-67.4655,189.0,AR-U,Comodoro Rivadavia,1050
23,5823,medium_airport,Brigadier Antonio Parodi Airport,-42.908000946,-71.139503479,2621.0,AR-U,Esquel,975
24,5851,medium_airport,Santa Rosa Airport,-36.588299,-64.27570300000001,630.0,AR-L,Santa Rosa,975
25,5829,medium_airport,El Tehuelche Airport,-42.7592,-65.1027,427.0,AR-U,Puerto Madryn,825
26,5827,medium_airport,Almirante Marco Andres Zar Airport,-43.2105,-65.2703,141.0,AR-U,Rawson,825
27,5828,medium_airport,Gobernador Castello Airport,-40.8692,-63.0004,20.0,AR-R,Viedma / Carmen de Patagones,800
28,5764,medium_airport,Comodoro Pierrestegui Airport,-31.2969,-57.9966,112.0,AR-E,Concordia,250
29,5778,small_airport,Moron Airport,-34.6763,-58.6428,95.0,AR-B,Moron,250
30,38833,small_airport,Ezpeleta Airport,-34.7464,-58.2033,9.0,AR-B,Ezpeleta,50
31,5848,medium_airport,Presidente Peron Airport,-38.949001,-68.15570100000001,895.0,AR-Q,Neuquen,1050
32,5809,medium_airport,Libertador Gral D Jose De San Martin Airport,-27.3858,-55.9707,430.0,AR-N,Posadas,1050
33,5804,medium_airport,Resistencia International Airport,-27.45,-59.0561,173.0,AR-H,Resistencia,1050
34,5794,medium_airport,Teniente Benjamin Matienzo Airport,-26.8409,-65.104897,1493.0,AR-T,San Miguel de Tucumán,1050
35,5840,medium_airport,Comandante Espora Airport,-38.725,-62.1693,246.0,AR-B,Bahia Blanca,975
36,5768,medium_airport,General Urquiza Airport,-31.7948,-60.4804,242.0,AR-E,Parana,975
37,5838,medium_airport,Perito Moreno Airport,-46.537898999999996,-70.978699,1410.0,AR-Z,Perito Moreno,800
38,5832,medium_airport,Puerto Deseado Airport,-47.7353,-65.9041,268.0,AR-Z,Puerto Deseado,800
39,5839,medium_airport,Santa Cruz Airport,-50.0165,-68.5792,364.0,AR-Z,Santa Cruz,800
40,5846,medium_airport,Santa Teresita Airport,-36.5423,-56.7218,9.0,AR-B,Santa Teresita,800
41,29898,small_airport,Gobernador Gregores Airport,-48.7831,-70.150002,356.0,AR-Z,Gobernador Gregores,450
42,5800,medium_airport,Villa Reynolds Airport,-33.729900360100004,-65.3873977661,1591.0,AR-D,Villa Mercedes,375
43,5853,medium_airport,Héroes De Malvinas Airport,-37.2374000549,-59.227901458699996,574.0,AR-B,Tandil,325
44,5855,medium_airport,Cutral-Co Airport,-38.939701080300004,-69.2646026611,2132.0,AR-Q,Cutral-Co,250
45,38737,small_airport,Belén De Escobar Airport,-34.2986,-58.7989,13.0,AR-B,Belén De Escobar,50
46,29806,small_airport,Coronel Olmedo Airport,-31.4874992371,-64.1414031982,1416.0,AR-X,Cordoba,50
47,38850,closed,General Rodriguez Airport,-34.497234000000006,-59.037456999999996,98.0,AR-B,General Rodriguez,50
48,5776,small_airport,Mariano Moreno Airport,-34.5606,-58.7896,105.0,AR-B,General Sarmiento,50
49,16,small_airport,Isla Martin Garcia Airport,-34.1821,-58.2469,6.0,AR-B,Isla Martin Garcia,50
50,30122,small_airport,Matanza Airport,-34.7261,-58.5011,9.0,AR-B,La Matanza,50
51,38927,small_airport,Luján Airport,-34.5514,-59.0783,82.0,AR-B,Lujan,50
52,38946,small_airport,Mercedes Airport,-34.6397,-59.4556,137.0,AR-B,Mercedes,50
53,30260,small_airport,Pigüé Airport,-37.601699829100006,-62.3781013489,997.0,AR-B,Pigüé,50
54,30313,small_airport,Quilmes Airport,-34.7064,-58.2444,6.0,AR-B,Quilmes,50
55,38706,small_airport,San Andres De Giles Airport,-34.4703,-59.4247,167.0,AR-B,San Andres de Giles,50
56,29803,small_airport,Escuela De Aviacion Militar Airport,-31.444999694800003,-64.2838973999,1646.0,AR-X,Santa Isabel - Córdoba,50
57,5812,medium_airport,Gobernador Horacio Guzman International Airport,-24.392799,-65.097801,3019.0,AR-Y,San Salvador de Jujuy,1050
58,5792,medium_airport,Capitan V A Almonacid Airport,-29.381599426300003,-66.7957992554,1437.0,AR-F,La Rioja,975
59,5789,medium_airport,Catamarca Airport,-28.5956001282,-65.751701355,1522.0,AR-K,Catamarca,800
60,5856,medium_airport,Aviador C. Campos Airport,-40.075401,-71.137299,2569.0,AR-Q,Chapelco/San Martin de los Andes,800
61,5795,medium_airport,Domingo Faustino Sarmiento Airport,-31.571501,-68.418198,1958.0,AR-J,San Juan,800
62,5824,medium_airport,Las Heras Airport,-46.53829956049999,-68.9653015137,1082.0,AR-Z,Las Heras,550
63,5796,medium_airport,Area De Material Airport,-33.0850982666,-64.2612991333,1380.0,AR-X,Rio Cuarto,375
64,5817,medium_airport,Goya Airport,-29.1058,-59.2189,128.0,AR-W,Goya,250
65,5765,medium_airport,Gualeguaychu Airport,-33.0103,-58.6131,75.0,AR-E,Gualeguaychu,250
66,5766,small_airport,Junin Airport,-34.5459,-60.9306,262.0,AR-B,Junin,250
67,5777,medium_airport,La Plata Airport,-34.9722,-57.8947,72.0,AR-B,La Plata,250
68,5807,medium_airport,Paso De Los Libres Airport,-29.6894,-57.1521,230.0,AR-W,Paso de los Libres,250
69,5819,medium_airport,Reconquista Airport,-29.2103,-59.68,160.0,AR-S,Reconquista,250
